omics,signature,matched,missing,n_features
1,Luminal_A_or_B,"ESR1,PGR,FOXA1,GATA3,BCL2,MLPH",,6
1,Basal_like,FOXC1,"KRT5,KRT14,KRT17,EGFR,KRT6A",1
1,Proliferation_or_LumB,"AURKA,BIRC5,CCNB1","MKI67,TOP2A",3
1,HER2_enriched,,"ERBB2,GRB7,PGAP3,MIEN1,STARD3",0
2,Luminal_A_or_B,"PGR,FOXA1,MLPH","ESR1,GATA3,BCL2",3
2,Basal_like,"KRT17,FOXC1","KRT5,KRT14,EGFR,KRT6A",2
2,Proliferation_or_LumB,BIRC5,"MKI67,TOP2A,AURKA,CCNB1",1
2,HER2_enriched,,"ERBB2,GRB7,PGAP3,MIEN1,STARD3",0
3,Luminal_A_or_B,,"ESR1,PGR,FOXA1,GATA3,BCL2,MLPH",0
3,Basal_like,,"KRT5,KRT14,KRT17,EGFR,KRT6A,FOXC1",0
3,Proliferation_or_LumB,,"MKI67,TOP2A,AURKA,BIRC5,CCNB1",0
3,HER2_enriched,,"ERBB2,GRB7,PGAP3,MIEN1,STARD3",0
