pathName,Hit Ratio,Pvalue,metabolit,count
Cell Cycle,0.0420899854862119,2.462277614097786e-24,CCNE1;CDC6;CDC25A;CDC25B;CENPA;CHEK1;MCM6;MYBL2;ORC1;POLR2D;PSMB2;RAD51;RFC2;AURKA;CDC45;CCNB2;NUP93;PSMD14;DBF4;NCAPH;ORC6;MCM10;CENPN;GINS3;CENPO;TUBA1C;TICRR;SGO1;TUBB,29
"Cell Cycle, Mitotic",0.04693140794223827,5.438330156392734e-23,CCNE1;CDC6;CDC25A;CDC25B;CENPA;MCM6;MYBL2;ORC1;PSMB2;RFC2;AURKA;CDC45;CCNB2;NUP93;PSMD14;DBF4;NCAPH;ORC6;MCM10;CENPN;GINS3;CENPO;TUBA1C;TICRR;SGO1;TUBB,26
mitotic cell cycle,0.04528985507246377,9.829476816511461e-22,CCNE1;CDC6;CDC25A;CDC25B;CDKN3;CENPA;CHEK1;MCM6;MYBL2;ORC1;RAD51;STIL;AURKA;CDC45;CCNB2;SPAG5;DBF4;NCAPH;DONSON;ANLN;TUBA1C;TICRR;EME1;TUBB;SKA3,25
mitotic cell cycle process,0.04573804573804574,2.967767218017637e-19,CCNE1;CDC6;CDC25A;CDC25B;CDKN3;CENPA;CHEK1;MCM6;ORC1;RAD51;STIL;AURKA;CDC45;CCNB2;SPAG5;DBF4;NCAPH;DONSON;ANLN;TICRR;EME1;SKA3,22
DNA replication,0.08133971291866028,3.10997821814982e-19,CDC6;CHEK1;MCM6;ORC1;RAD51;RFC2;CDK2AP1;CDC45;POLQ;DBF4;ORC6;DONSON;MCM10;GINS3;TICRR;EME1;RNASEH1,17
Cell Cycle Checkpoints,0.06164383561643835,3.748143726394849e-18,CCNE1;CDC6;CDC25A;CENPA;CHEK1;MCM6;ORC1;PSMB2;RFC2;CDC45;CCNB2;PSMD14;DBF4;ORC6;MCM10;CENPN;CENPO;SGO1,18
DNA metabolic process,0.034328358208955224,2.293172120762221e-17,CDC6;CHEK1;KPNA2;MCM6;ORC1;PSMB2;RAD51;RFC2;CDK2AP1;CDC45;PSMD14;POLQ;DBF4;PSME4;NCAPH;ORC6;DONSON;NEIL3;MCM10;GINS3;TICRR;EME1;RNASEH1,23
Activation of ATR in response to replication stress,0.2702702702702703,2.783639172922008e-17,CDC6;CDC25A;CHEK1;MCM6;ORC1;RFC2;CDC45;DBF4;ORC6;MCM10,10
DNA-templated DNA replication,0.09859154929577464,3.423126922643185e-17,CDC6;MCM6;ORC1;RAD51;RFC2;CDK2AP1;CDC45;POLQ;ORC6;DONSON;MCM10;GINS3;EME1;RNASEH1,14
regulation of cell cycle phase transition,0.04357298474945534,3.791623953938099e-17,CCNE1;CDC6;CDC25A;CDC25B;CHEK1;ORC1;PSMB2;RAD51;RFC2;STIL;AURKA;CDC45;DBF4;DONSON;CPSF3;ANLN;SACK1D;TICRR;EME1;SKA3,20
regulation of cell cycle process,0.029850746268656716,2.2305974788499193e-15,CCNE1;CDC6;CDC25A;CDC25B;CHEK1;ORC1;PSMB2;RAD51;RFC2;STIL;AURKA;CDC45;SPAG5;DBF4;NCAPH;DONSON;CPSF3;ANLN;SACK1D;TICRR;EME1;SKA3,22
G2/M Checkpoints,0.08333333333333333,4.488830039211366e-15,CDC6;CDC25A;CHEK1;MCM6;ORC1;PSMB2;RFC2;CDC45;CCNB2;PSMD14;DBF4;ORC6;MCM10,13
Cell cycle,0.08227848101265822,5.30469960784348e-15,CCNE1;CDC6;CDC25A;CDC25B;CHEK1;MCM6;ORC1;CDC45;CCNB2;DBF4;ORC6;TICRR;SGO1,13
Mitotic G1 phase and G1/S transition,0.08633093525179857,3.4842514127022656e-14,CCNE1;CDC6;CDC25A;MCM6;MYBL2;ORC1;PSMB2;CDC45;PSMD14;DBF4;ORC6;MCM10,12
DNA Replication,0.07065217391304347,3.86126079698694e-14,CCNE1;CDC6;MCM6;ORC1;PSMB2;RFC2;CDC45;PSMD14;DBF4;ORC6;MCM10;GINS3;RNASEH1,13
