Description,Term,Category,Hit Ratio,Pvalue,FDR_qvalue,count,term_size,Symbols,LogP,Log(q-value)
Cell Cycle,R-HSA-1640170,Reactome Gene Sets,0.0420899854862119,2.462277614097786e-24,5.178908505355607e-20,29.0,689.0,"CCNE1,CDC6,CDC25A,CDC25B,CENPA,CHEK1,MCM6,MYBL2,ORC1,POLR2D,PSMB2,RAD51,RFC2,AURKA,CDC45,CCNB2,NUP93,PSMD14,DBF4,NCAPH,ORC6,MCM10,CENPN,GINS3,CENPO,TUBA1C,TICRR,SGO1,TUBB",-23.6086629833,-19.2857617615
"Cell Cycle, Mitotic",R-HSA-69278,Reactome Gene Sets,0.04693140794223827,5.438330156392734e-23,5.719219909397458e-19,26.0,554.0,"CCNE1,CDC6,CDC25A,CDC25B,CENPA,MCM6,MYBL2,ORC1,PSMB2,RFC2,AURKA,CDC45,CCNB2,NUP93,PSMD14,DBF4,NCAPH,ORC6,MCM10,CENPN,GINS3,CENPO,TUBA1C,TICRR,SGO1,TUBB",-22.2645344303,-18.2426632041
mitotic cell cycle,GO:0000278,GO Biological Processes,0.04528985507246377,9.829476816511461e-22,6.891446195867474e-18,25.0,552.0,"CCNE1,CDC6,CDC25A,CDC25B,CDKN3,CENPA,CHEK1,MCM6,MYBL2,ORC1,RAD51,STIL,AURKA,CDC45,CCNB2,SPAG5,DBF4,NCAPH,DONSON,ANLN,TUBA1C,TICRR,EME1,TUBB,SKA3",-21.0074695973,-17.1616896302
mitotic cell cycle process,GO:1903047,GO Biological Processes,0.04573804573804574,2.967767218017637e-19,1.3082434372603623e-15,22.0,481.0,"CCNE1,CDC6,CDC25A,CDC25B,CDKN3,CENPA,CHEK1,MCM6,ORC1,RAD51,STIL,AURKA,CDC45,CCNB2,SPAG5,DBF4,NCAPH,DONSON,ANLN,TICRR,EME1,SKA3",-18.5275701667,-14.8833114352
DNA replication,GO:0006260,GO Biological Processes,0.08133971291866028,3.10997821814982e-19,1.3082434372603623e-15,17.0,209.0,"CDC6,CHEK1,MCM6,ORC1,RAD51,RFC2,CDK2AP1,CDC45,POLQ,DBF4,ORC6,DONSON,MCM10,GINS3,TICRR,EME1,RNASEH1",-18.5072426527,-14.8833114352
Cell Cycle Checkpoints,R-HSA-69620,Reactome Gene Sets,0.06164383561643835,3.748143726394849e-18,1.3139117834453179e-14,18.0,292.0,"CCNE1,CDC6,CDC25A,CENPA,CHEK1,MCM6,ORC1,PSMB2,RFC2,CDC45,CCNB2,PSMD14,DBF4,ORC6,MCM10,CENPN,CENPO,SGO1",-17.426183764,-13.8814337925
DNA metabolic process,GO:0006259,GO Biological Processes,0.034328358208955224,2.293172120762221e-17,6.890327030581558e-14,23.0,670.0,"CDC6,CHEK1,KPNA2,MCM6,ORC1,PSMB2,RAD51,RFC2,CDK2AP1,CDC45,PSMD14,POLQ,DBF4,PSME4,NCAPH,ORC6,DONSON,NEIL3,MCM10,GINS3,TICRR,EME1,RNASEH1",-16.6395633468,-13.161760165
Activation of ATR in response to replication stress,R-HSA-176187,Reactome Gene Sets,0.2702702702702703,2.783639172922008e-17,7.3185353398411e-14,10.0,37.0,"CDC6,CDC25A,CHEK1,MCM6,ORC1,RFC2,CDC45,DBF4,ORC6,MCM10",-16.5553870605,-13.1355758257
DNA-templated DNA replication,GO:0006261,GO Biological Processes,0.09859154929577464,3.423126922643185e-17,7.974922663574923e-14,14.0,142.0,"CDC6,MCM6,ORC1,RAD51,RFC2,CDK2AP1,CDC45,POLQ,ORC6,DONSON,MCM10,GINS3,EME1,RNASEH1",-16.4655769978,-13.0982735198
regulation of cell cycle phase transition,GO:1901987,GO Biological Processes,0.04357298474945534,3.791623953938099e-17,7.974922663574923e-14,20.0,459.0,"CCNE1,CDC6,CDC25A,CDC25B,CHEK1,ORC1,PSMB2,RAD51,RFC2,STIL,AURKA,CDC45,DBF4,DONSON,CPSF3,ANLN,SACK1D,TICRR,EME1,SKA3",-16.4211747417,-13.0982735198
regulation of cell cycle process,GO:0010564,GO Biological Processes,0.029850746268656716,2.2305974788499193e-15,4.26510516141199e-12,22.0,737.0,"CCNE1,CDC6,CDC25A,CDC25B,CHEK1,ORC1,PSMB2,RAD51,RFC2,STIL,AURKA,CDC45,SPAG5,DBF4,NCAPH,DONSON,CPSF3,ANLN,SACK1D,TICRR,EME1,SKA3",-14.651578793,-11.3700702563
G2/M Checkpoints,R-HSA-69481,Reactome Gene Sets,0.08333333333333333,4.488830039211366e-15,7.867796851518897e-12,13.0,156.0,"CDC6,CDC25A,CHEK1,MCM6,ORC1,PSMB2,RFC2,CDC45,CCNB2,PSMD14,DBF4,ORC6,MCM10",-14.347866838,-11.1041468622
Cell cycle,hsa04110,KEGG Pathway,0.08227848101265822,5.30469960784348e-15,8.58259591118632e-12,13.0,158.0,"CCNE1,CDC6,CDC25A,CDC25B,CHEK1,MCM6,ORC1,CDC45,CCNB2,DBF4,ORC6,TICRR,SGO1",-14.2753392041,-11.0663813346
Mitotic G1 phase and G1/S transition,R-HSA-453279,Reactome Gene Sets,0.08633093525179857,3.4842514127022656e-14,5.234589996740746e-11,12.0,139.0,"CCNE1,CDC6,CDC25A,MCM6,MYBL2,ORC1,PSMB2,CDC45,PSMD14,DBF4,ORC6,MCM10",-13.4578905152,-10.2811173291
DNA Replication,R-HSA-69306,Reactome Gene Sets,0.07065217391304347,3.86126079698694e-14,5.414259889835892e-11,13.0,184.0,"CCNE1,CDC6,MCM6,ORC1,PSMB2,RFC2,CDC45,PSMD14,DBF4,ORC6,MCM10,GINS3,RNASEH1",-13.4132708643,-10.2664609015
S Phase,R-HSA-69242,Reactome Gene Sets,0.08,8.755860129227972e-14,1.1510125379123914e-10,12.0,150.0,"CCNE1,CDC6,CDC25A,CDC25B,MCM6,ORC1,PSMB2,RFC2,CDC45,PSMD14,ORC6,GINS3",-13.0577011847,-9.9389199456
Cell cycle,WP179,WikiPathways,0.09166666666666666,2.1893721826554442e-13,2.708768536632116e-10,11.0,120.0,"CCNE1,CDC6,CDC25A,CDC25B,CHEK1,MCM6,ORC1,CDC45,CCNB2,DBF4,ORC6",-12.6596804042,-9.5672281037
G1/S Transition,R-HSA-69206,Reactome Gene Sets,0.09090909090909091,2.401889653668062e-13,2.806608060128593e-10,11.0,121.0,"CCNE1,CDC6,CDC25A,MCM6,ORC1,PSMB2,CDC45,PSMD14,DBF4,ORC6,MCM10",-12.6194469486,-9.5518182319
regulation of mitotic cell cycle phase transition,GO:1901990,GO Biological Processes,0.043478260869565216,4.643306327276347e-13,5.14014010454673e-10,15.0,345.0,"CCNE1,CDC6,CDC25A,CDC25B,CHEK1,ORC1,PSMB2,STIL,AURKA,DBF4,DONSON,CPSF3,ANLN,TICRR,SKA3",-12.3331726642,-9.2890250433
DNA replication,WP466,WikiPathways,0.19047619047619047,1.038462544206345e-12,1.0920991344446863e-09,8.0,42.0,"CDC6,MCM6,ORC1,RFC2,CDC45,DBF4,ORC6,MCM10",-11.9836091632,-8.9617379371
